session,ratio,window_size,original_train_length,kept_length,model_train_length,validation_length,train_window_count,validation_window_count,normalization_sample_count,feasible
1,0.1,5,280800,28080,25272,2808,25267,2803,28074,True
1,0.1,15,280800,28080,25272,2808,25257,2793,28064,True
1,0.1,50,280800,28080,25272,2808,25222,2758,28029,True
1,0.1,55,280800,28080,25272,2808,25217,2753,28024,True
1,0.1,155,280800,28080,25272,2808,25117,2653,27924,True
1,1.0,5,280800,280800,252720,28080,252715,28075,280794,True
1,1.0,15,280800,280800,252720,28080,252705,28065,280784,True
1,1.0,50,280800,280800,252720,28080,252670,28030,280749,True
1,1.0,55,280800,280800,252720,28080,252665,28025,280744,True
1,1.0,155,280800,280800,252720,28080,252565,27925,280644,True
2,0.1,5,291600,29160,26244,2916,26239,2911,29154,True
2,0.1,15,291600,29160,26244,2916,26229,2901,29144,True
2,0.1,50,291600,29160,26244,2916,26194,2866,29109,True
2,0.1,55,291600,29160,26244,2916,26189,2861,29104,True
2,0.1,155,291600,29160,26244,2916,26089,2761,29004,True
2,1.0,5,291600,291600,262440,29160,262435,29155,291594,True
2,1.0,15,291600,291600,262440,29160,262425,29145,291584,True
2,1.0,50,291600,291600,262440,29160,262390,29110,291549,True
2,1.0,55,291600,291600,262440,29160,262385,29105,291544,True
2,1.0,155,291600,291600,262440,29160,262285,29005,291444,True
3,0.1,5,126000,12600,11340,1260,11335,1255,12594,True
3,0.1,15,126000,12600,11340,1260,11325,1245,12584,True
3,0.1,50,126000,12600,11340,1260,11290,1210,12549,True
3,0.1,55,126000,12600,11340,1260,11285,1205,12544,True
3,0.1,155,126000,12600,11340,1260,11185,1105,12444,True
3,1.0,5,126000,126000,113400,12600,113395,12595,125994,True
3,1.0,15,126000,126000,113400,12600,113385,12585,125984,True
3,1.0,50,126000,126000,113400,12600,113350,12550,125949,True
3,1.0,55,126000,126000,113400,12600,113345,12545,125944,True
3,1.0,155,126000,126000,113400,12600,113245,12445,125844,True
4,0.1,5,198000,19800,17820,1980,17815,1975,19794,True
4,0.1,15,198000,19800,17820,1980,17805,1965,19784,True
4,0.1,50,198000,19800,17820,1980,17770,1930,19749,True
4,0.1,55,198000,19800,17820,1980,17765,1925,19744,True
4,0.1,155,198000,19800,17820,1980,17665,1825,19644,True
4,1.0,5,198000,198000,178200,19800,178195,19795,197994,True
4,1.0,15,198000,198000,178200,19800,178185,19785,197984,True
4,1.0,50,198000,198000,178200,19800,178150,19750,197949,True
4,1.0,55,198000,198000,178200,19800,178145,19745,197944,True
4,1.0,155,198000,198000,178200,19800,178045,19645,197844,True
